Macrotrends Data Download

Nigeria Economic Growth 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth Rate
date, Billions of US $, US $, Annual % Change
1960-12-31,4.1961745015302,93.397,0
1961-12-31,4.4672878930848,97.421,0.1918
1962-12-31,4.9093991762403,104.8527,4.103
1963-12-31,5.1655902537639,108.0157,8.5786
1964-12-31,5.5529313188275,113.6584,4.9505
1965-12-31,5.8745376501849,117.6654,4.885
1966-12-31,6.366917453233,124.7919,-4.2505
1967-12-31,5.2032379187048,99.8574,-15.7436
1968-12-31,5.2009979196008,97.7445,-1.2484
1969-12-31,6.6343173462731,122.0424,24.1974
1970-12-31,12.546094981562,225.774,25.0072
1971-12-31,9.1817699115044,161.5439,14.2375
1972-12-31,12.274416017798,210.9955,3.3643
1973-12-31,15.162871287129,254.3873,5.3928
1974-12-31,24.846641318124,406.2701,11.1607
1975-12-31,27.778934624697,441.9786,-5.2277
1976-12-31,36.308883248731,561.5501,9.0424
1977-12-31,36.035407725322,541.1562,6.0241
1978-12-31,36.527862208713,532.2174,-5.7642
1979-12-31,47.259911894273,667.9817,6.7594
1980-12-31,64.201788122605,880.062,4.2048
1981-12-31,164.47520951594,2187.8864,-13.1279
1982-12-31,142.76936331418,1844.8498,-6.8034
1983-12-31,97.094911792049,1223.6039,-10.9241
1984-12-31,73.484359521489,903.4494,-1.1156
1985-12-31,73.745821158225,882.2827,5.913
1986-12-31,54.805852580913,638.7317,0.0609
1987-12-31,52.676041931109,598.291,3.2001
1988-12-31,49.648470440459,549.5038,7.334
1989-12-31,44.0030611084,474.4569,1.9194
1990-12-31,54.035795387809,567.5179,11.7769
1991-12-31,59.526833412358,609.3731,0.3584
1992-12-31,52.058181853805,519.6358,4.6312
1993-12-31,56.721051402473,551.8929,-2.0351
1994-12-31,80.399613063636,762.3987,-1.8149
1995-12-31,140.91977698636,1302.5501,-0.0727
1996-12-31,185.7302367,1673.9061,4.1959
1997-12-31,200.85039761818,1765.0788,2.9371
1998-12-31,218.41620067273,1871.7561,2.5813
1999-12-31,59.145077039144,494.1292,0.5841
2000-12-31,69.171451627247,563.0471,5.0159
2001-12-31,73.557840064489,583.0858,5.9177
2002-12-31,95.054059302699,733.5379,15.3292
2003-12-31,104.73895426423,786.8022,7.3472
2004-12-31,135.76473164561,992.7454,9.2506
2005-12-31,175.67056996935,1250.4069,6.4385
2006-12-31,238.45499716148,1652.154,6.0594
2007-12-31,278.2608468001,1876.413,6.5911
2008-12-31,339.47627625779,2227.7903,6.7645
2009-12-31,295.008835381,1883.8878,8.0369
2010-12-31,366.99041712904,2280.1113,8.0057
2011-12-31,414.46667683116,2504.8791,5.3079
2012-12-31,463.97101823928,2728.0228,4.2301
2013-12-31,520.11718031391,2976.7568,6.6713
2014-12-31,574.18376341151,3200.9528,6.3097
2015-12-31,493.02668280063,2679.5542,2.6527
2016-12-31,404.64912525216,2144.7803,-1.6169
2017-12-31,375.74573105343,1941.8795,0.8059
2018-12-31,421.73925150908,2125.8345,1.9228
2019-12-31,474.51749109291,2334.0236,2.2084
2020-12-31,432.19889822197,2074.6137,-1.7943
2021-12-31,440.83899218848,2065.7744,3.6472
2022-12-31,472.6245974029,2162.6337,3.2517
