Macrotrends Data Download

Nigeria GDP Growth Rate 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Growth (%), Annual Change, 
1960-12-31,0
1961-12-31,0.1918,0.19
1962-12-31,4.103,3.91
1963-12-31,8.5786,4.48
1964-12-31,4.9505,-3.63
1965-12-31,4.885,-0.07
1966-12-31,-4.2505,-9.14
1967-12-31,-15.7436,-11.49
1968-12-31,-1.2484,14.5
1969-12-31,24.1974,25.45
1970-12-31,25.0072,0.81
1971-12-31,14.2375,-10.77
1972-12-31,3.3643,-10.87
1973-12-31,5.3928,2.03
1974-12-31,11.1607,5.77
1975-12-31,-5.2277,-16.39
1976-12-31,9.0424,14.27
1977-12-31,6.0241,-3.02
1978-12-31,-5.7642,-11.79
1979-12-31,6.7594,12.52
1980-12-31,4.2048,-2.55
1981-12-31,-13.1279,-17.33
1982-12-31,-6.8034,6.32
1983-12-31,-10.9241,-4.12
1984-12-31,-1.1156,9.81
1985-12-31,5.913,7.03
1986-12-31,0.0609,-5.85
1987-12-31,3.2001,3.14
1988-12-31,7.334,4.13
1989-12-31,1.9194,-5.41
1990-12-31,11.7769,9.86
1991-12-31,0.3584,-11.42
1992-12-31,4.6312,4.27
1993-12-31,-2.0351,-6.67
1994-12-31,-1.8149,0.22
1995-12-31,-0.0727,1.74
1996-12-31,4.1959,4.27
1997-12-31,2.9371,-1.26
1998-12-31,2.5813,-0.36
1999-12-31,0.5841,-2
2000-12-31,5.0159,4.43
2001-12-31,5.9177,0.9
2002-12-31,15.3292,9.41
2003-12-31,7.3472,-7.98
2004-12-31,9.2506,1.9
2005-12-31,6.4385,-2.81
2006-12-31,6.0594,-0.38
2007-12-31,6.5911,0.53
2008-12-31,6.7645,0.17
2009-12-31,8.0369,1.27
2010-12-31,8.0057,-0.03
2011-12-31,5.3079,-2.7
2012-12-31,4.2301,-1.08
2013-12-31,6.6713,2.44
2014-12-31,6.3097,-0.36
2015-12-31,2.6527,-3.66
2016-12-31,-1.6169,-4.27
2017-12-31,0.8059,2.42
2018-12-31,1.9228,1.12
2019-12-31,2.2084,0.29
2020-12-31,-1.7943,-4
2021-12-31,3.6472,5.44
2022-12-31,3.2517,-0.4
