Macrotrends Data Download

Nigeria Inflation Rate 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Inflation Rate (%), Annual Change, 
1960-12-31,5.4443
1961-12-31,6.2791,0.83
1962-12-31,5.2656,-1.01
1963-12-31,-2.6947,-7.96
1964-12-31,0.8568,3.55
1965-12-31,4.1035,3.25
1966-12-31,9.6903,5.59
1967-12-31,-3.7263,-13.42
1968-12-31,-0.4761,3.25
1969-12-31,10.156,10.63
1970-12-31,13.7571,3.6
1971-12-31,15.9991,2.24
1972-12-31,3.4576,-12.54
1973-12-31,5.4027,1.95
1974-12-31,12.6744,7.27
1975-12-31,33.9642,21.29
1976-12-31,24.3,-9.66
1977-12-31,15.0878,-9.21
1978-12-31,21.7092,6.62
1979-12-31,11.7097,-10
1980-12-31,9.9723,-1.74
1981-12-31,20.8128,10.84
1982-12-31,7.6977,-13.12
1983-12-31,23.2123,15.51
1984-12-31,17.8205,-5.39
1985-12-31,7.4353,-10.39
1986-12-31,5.7172,-1.72
1987-12-31,11.2903,5.57
1988-12-31,54.5112,43.22
1989-12-31,50.4667,-4.04
1990-12-31,7.3644,-43.1
1991-12-31,13.007,5.64
1992-12-31,44.5888,31.58
1993-12-31,57.1653,12.58
1994-12-31,57.0317,-0.13
1995-12-31,72.8355,15.8
1996-12-31,29.2683,-43.57
1997-12-31,8.5299,-20.74
1998-12-31,9.9964,1.47
1999-12-31,6.6184,-3.38
2000-12-31,6.9333,0.31
2001-12-31,18.8736,11.94
2002-12-31,12.8766,-6
2003-12-31,14.0318,1.16
2004-12-31,14.998,0.97
2005-12-31,17.8635,2.87
2006-12-31,8.2252,-9.64
2007-12-31,5.388,-2.84
2008-12-31,11.5811,6.19
2009-12-31,12.5378,0.96
2010-12-31,13.7401,1.2
2011-12-31,10.8261,-2.91
2012-12-31,12.2242,1.4
2013-12-31,8.4955,-3.73
2014-12-31,8.0474,-0.45
2015-12-31,9.0094,0.96
2016-12-31,15.6968,6.69
2017-12-31,16.5023,0.81
2018-12-31,12.0951,-4.41
2019-12-31,11.3964,-0.7
2020-12-31,13.246,1.85
2021-12-31,16.9528,3.71
2022-12-31,18.8472,1.89
