Date,Price,Open,High,Low,Vol.,Change %
1995-07-11,82.25,82.25,82.25,82.25,,-0.69%
1995-07-12,82.75,82.75,82.75,82.75,,0.61%
1995-07-13,83.0,83.0,83.0,83.0,,0.30%
1995-07-14,83.25,83.25,83.25,83.25,,0.30%
1995-07-17,83.75,83.75,83.75,83.75,,0.60%
1995-07-18,83.75,83.75,83.75,83.75,,0.00%
1995-07-19,83.25,83.25,83.25,83.25,,-0.60%
1995-07-20,83.25,83.25,83.25,83.25,,0.00%
1995-07-21,82.575,82.575,82.575,82.575,,-0.81%
1995-07-25,83.5,83.5,83.5,83.5,,1.12%
1995-07-26,83.5,83.5,83.5,83.5,,0.00%
1995-07-27,84.55,84.55,84.55,84.55,,1.26%
1995-07-28,84.75,84.75,84.75,84.75,,0.24%
1995-07-31,83.95,83.95,83.95,83.95,,-0.94%
1995-08-01,84.2,84.2,84.2,84.2,,0.30%
1995-08-02,84.15,84.15,84.15,84.15,,-0.06%
1995-08-03,84.1,84.1,84.1,84.1,,-0.06%
1995-08-04,84.15,84.15,84.15,84.15,,0.06%
1995-08-07,84.25,84.25,84.25,84.25,,0.12%
1995-08-08,84.25,84.25,84.25,84.25,,0.00%
1995-08-09,84.0,84.0,84.0,84.0,,-0.30%
1995-08-10,83.5,83.5,83.5,83.5,,-0.60%
1995-08-14,84.3,84.3,84.3,84.3,,0.96%
1995-08-15,84.35,84.35,84.35,84.35,,0.06%
1995-08-16,83.75,83.75,83.75,83.75,,-0.71%
1995-08-17,84.45,84.45,84.45,84.45,,0.84%
1995-08-18,84.75,84.75,84.75,84.75,,0.36%
1995-08-21,84.55,84.55,84.55,84.55,,-0.24%
1995-08-22,84.9,84.9,84.9,84.9,,0.41%
1995-08-23,84.65,84.65,84.65,84.65,,-0.29%
1995-08-24,84.75,84.75,84.75,84.75,,0.12%
1995-08-25,85.25,85.25,85.25,85.25,,0.59%
1995-08-29,84.75,84.75,84.75,84.75,,-0.59%
1995-08-30,84.85,84.85,84.85,84.85,,0.12%
1995-08-31,85.15,85.15,85.15,85.15,,0.35%
1995-09-01,85.15,85.15,85.15,85.15,,0.00%
1995-09-04,85.0,85.0,85.0,85.0,,-0.18%
1995-09-05,85.65,85.65,85.65,85.65,,0.76%
1995-09-06,85.65,85.65,85.65,85.65,,0.00%
1995-09-07,85.25,85.25,85.25,85.25,,-0.47%
1995-09-08,85.25,85.25,85.25,85.25,,0.00%
1995-09-11,85.15,85.15,85.15,85.15,,-0.12%
1995-09-12,84.95,84.95,84.95,84.95,,-0.23%
1995-09-13,84.95,84.95,84.95,84.95,,0.00%
1995-09-14,84.85,84.85,84.85,84.85,,-0.12%
1995-09-15,84.8,84.8,84.8,84.8,,-0.06%
1995-09-18,84.9,84.9,84.9,84.9,,0.12%
1995-09-19,84.75,84.75,84.75,84.75,,-0.18%
1995-09-20,85.5,85.5,85.5,85.5,,0.88%
1995-09-21,84.0,84.0,84.0,84.0,,-1.75%
1995-09-22,84.25,84.25,84.25,84.25,,0.30%
1995-09-25,84.0,84.0,84.0,84.0,,-0.30%
1995-09-26,83.83,83.83,83.83,83.83,,-0.20%
1995-09-27,83.75,83.75,83.75,83.75,,-0.10%
1995-09-28,83.75,83.75,83.75,83.75,,0.00%
1995-09-29,83.85,83.85,83.85,83.85,,0.12%
1995-10-03,83.85,83.85,83.85,83.85,,0.00%
1995-10-04,84.7,84.7,84.7,84.7,,1.01%
1995-10-05,83.5,83.5,83.5,83.5,,-1.42%
1995-10-06,84.2,84.2,84.2,84.2,,0.84%
1995-10-09,83.0,83.0,83.0,83.0,,-1.43%
1995-10-10,83.0,83.0,83.0,83.0,,0.00%
1995-10-11,84.25,84.25,84.25,84.25,,1.51%
1995-10-12,84.3,84.3,84.3,84.3,,0.06%
1995-10-13,84.3,84.3,84.3,84.3,,0.00%
1995-10-16,84.5,84.5,84.5,84.5,,0.24%
1995-10-18,84.95,84.95,84.95,84.95,,0.53%
1995-10-19,85.05,85.05,85.05,85.05,,0.12%
1995-10-20,84.95,84.95,84.95,84.95,,-0.12%
1995-10-23,85.1,85.1,85.1,85.1,,0.18%
1995-10-24,84.95,84.95,84.95,84.95,,-0.18%
1995-10-25,84.95,84.95,84.95,84.95,,0.00%
1995-10-26,84.95,84.95,84.95,84.95,,0.00%
1995-10-27,85.75,85.75,85.75,85.75,,0.94%
1995-10-30,85.75,85.75,85.75,85.75,,0.00%
1995-10-31,86.25,86.25,86.25,86.25,,0.58%
1995-11-01,85.5,85.5,85.5,85.5,,-0.87%
1995-11-02,87.25,87.25,87.25,87.25,,2.05%
1995-11-03,86.355,86.355,86.355,86.355,,-1.03%
1995-11-06,87.3,87.3,87.3,87.3,,1.09%
1995-11-07,87.25,87.25,87.25,87.25,,-0.06%
1995-11-08,87.4,87.4,87.4,87.4,,0.17%
1995-11-09,87.25,87.25,87.25,87.25,,-0.17%
1995-11-10,86.0,86.0,86.0,86.0,,-1.43%
1995-11-13,87.75,87.75,87.75,87.75,,2.03%
1995-11-15,88.75,88.75,88.75,88.75,,1.14%
1995-11-16,88.75,88.75,88.75,88.75,,0.00%
1995-11-17,88.25,88.25,88.25,88.25,,-0.56%
1995-11-20,88.25,88.25,88.25,88.25,,0.00%
1995-11-21,87.0,87.0,87.0,87.0,,-1.42%
1995-11-24,86.75,86.75,86.75,86.75,,-0.29%
1995-11-27,85.5,85.5,85.5,85.5,,-1.44%
1995-11-28,87.4,87.4,87.4,87.4,,2.22%
1995-11-29,86.0,86.0,86.0,86.0,,-1.60%
1995-11-30,86.5,86.5,86.5,86.5,,0.58%
1995-12-01,84.5,84.5,84.5,84.5,,-2.31%
1995-12-04,84.825,84.825,84.825,84.825,,0.38%
1995-12-05,84.5,84.5,84.5,84.5,,-0.38%
1995-12-06,84.5,84.5,84.5,84.5,,0.00%
1995-12-07,83.75,83.75,83.75,83.75,,-0.89%
1995-12-08,83.75,83.75,83.75,83.75,,0.00%
1995-12-11,84.0,84.0,84.0,84.0,,0.30%
1995-12-12,84.0,84.0,84.0,84.0,,0.00%
1995-12-13,84.0,84.0,84.0,84.0,,0.00%
1995-12-14,83.0,83.0,83.0,83.0,,-1.19%
1995-12-15,82.5,82.5,82.5,82.5,,-0.60%
1995-12-18,82.5,82.5,82.5,82.5,,0.00%
1995-12-19,83.5,83.5,83.5,83.5,,1.21%
1995-12-20,83.5,83.5,83.5,83.5,,0.00%
1995-12-21,83.5,83.5,83.5,83.5,,0.00%
1995-12-27,83.5,83.5,83.5,83.5,,0.00%
1995-12-28,84.0,84.0,84.0,84.0,,0.60%
1996-01-03,84.5,84.5,84.5,84.5,,0.60%
1996-01-04,82.5,82.5,82.5,82.5,,-2.37%
1996-01-05,82.5,82.5,82.5,82.5,,0.00%
1996-01-08,82.5,82.5,82.5,82.5,,0.00%
1996-01-09,84.1,84.1,84.1,84.1,,1.94%
1996-01-10,84.1,84.1,84.1,84.1,,0.00%
1996-01-11,84.1,84.1,84.1,84.1,,0.00%
1996-01-12,84.1,84.1,84.1,84.1,,0.00%
1996-01-15,84.25,84.25,84.25,84.25,,0.18%
1996-01-16,83.5,83.5,83.5,83.5,,-0.89%
1996-01-17,84.75,84.75,84.75,84.75,,1.50%
1996-01-18,83.5,83.5,83.5,83.5,,-1.47%
1996-01-19,84.6,84.6,84.6,84.6,,1.32%
1996-01-22,84.4,84.4,84.4,84.4,,-0.24%
1996-01-23,83.5,83.5,83.5,83.5,,-1.07%
1996-01-24,84.55,84.55,84.55,84.55,,1.26%
1996-01-25,85.0,85.0,85.0,85.0,,0.53%
1996-01-26,85.0,85.0,85.0,85.0,,0.00%
1996-01-29,85.0,85.0,85.0,85.0,,0.00%
1996-01-30,84.5,84.5,84.5,84.5,,-0.59%
1996-01-31,84.0,84.0,84.0,84.0,,-0.59%
1996-02-01,84.0,84.0,84.0,84.0,,0.00%
1996-02-02,83.0,83.0,83.0,83.0,,-1.19%
1996-02-06,84.5,84.5,84.5,84.5,,1.81%
1996-02-07,84.0,84.0,84.0,84.0,,-0.59%
1996-02-08,84.05,84.05,84.05,84.05,,0.06%
1996-02-09,84.5,84.5,84.5,84.5,,0.54%
1996-02-12,84.5,84.5,84.5,84.5,,0.00%
1996-02-13,84.5,84.5,84.5,84.5,,0.00%
1996-02-14,84.5,84.5,84.5,84.5,,0.00%
1996-02-15,84.125,84.125,84.125,84.125,,-0.44%
1996-02-16,82.5,82.5,82.5,82.5,,-1.93%
1996-02-20,82.5,82.5,82.5,82.5,,0.00%
1996-02-21,84.0,84.0,84.0,84.0,,1.82%
1996-02-22,84.3,84.3,84.3,84.3,,0.36%
1996-02-23,82.0,82.0,82.0,82.0,,-2.73%
1996-02-26,83.25,83.25,83.25,83.25,,1.52%
1996-02-27,81.75,81.75,81.75,81.75,,-1.80%
1996-02-28,82.0,82.0,82.0,82.0,,0.31%
1996-02-29,82.75,82.75,82.75,82.75,,0.91%
1996-03-01,83.0,83.0,83.0,83.0,,0.30%
1996-03-04,83.75,83.75,83.75,83.75,,0.90%
1996-03-05,83.55,83.55,83.55,83.55,,-0.24%
1996-03-06,83.155,83.155,83.155,83.155,,-0.47%
1996-03-07,83.225,83.225,83.225,83.225,,0.08%
1996-03-08,82.0,82.0,82.0,82.0,,-1.47%
1996-03-11,83.26,83.26,83.26,83.26,,1.54%
1996-03-12,83.59,83.59,83.59,83.59,,0.40%
1996-03-13,83.765,83.765,83.765,83.765,,0.21%
1996-03-14,83.765,83.765,83.765,83.765,,0.00%
1996-03-15,84.3,84.3,84.3,84.3,,0.64%
1996-03-18,83.735,83.735,83.735,83.735,,-0.67%
1996-03-19,83.585,83.585,83.585,83.585,,-0.18%
1996-03-20,83.605,83.605,83.605,83.605,,0.02%
1996-03-21,83.453,83.453,83.453,83.453,,-0.18%
1996-03-22,83.62,83.62,83.62,83.62,,0.20%
1996-03-25,83.47,83.47,83.47,83.47,,-0.18%
1996-03-26,83.471,83.471,83.471,83.471,,0.00%
1996-03-27,83.471,83.471,83.471,83.471,,0.00%
1996-03-28,83.25,83.25,83.25,83.25,,-0.26%
1996-03-29,83.3,83.3,83.3,83.3,,0.06%
1996-04-01,83.32,83.32,83.32,83.32,,0.02%
1996-04-02,83.42,83.42,83.42,83.42,,0.12%
1996-04-03,83.535,83.535,83.535,83.535,,0.14%
1996-04-04,83.535,83.535,83.535,83.535,,0.00%
1996-04-10,83.47,83.47,83.47,83.47,,-0.08%
1996-04-11,83.47,83.47,83.47,83.47,,0.00%
1996-04-12,83.625,83.625,83.625,83.625,,0.19%
1996-04-15,83.0,83.0,83.0,83.0,,-0.75%
1996-04-16,83.645,83.645,83.645,83.645,,0.78%
1996-04-17,83.62,83.62,83.62,83.62,,-0.03%
1996-04-18,83.62,83.62,83.62,83.62,,0.00%
1996-04-19,83.62,83.62,83.62,83.62,,0.00%
1996-04-22,83.62,83.62,83.62,83.62,,0.00%
1996-04-23,83.62,83.62,83.62,83.62,,0.00%
1996-04-24,83.3,83.3,83.3,83.3,,-0.38%
1996-04-25,83.3,83.3,83.3,83.3,,0.00%
1996-04-26,83.175,83.175,83.175,83.175,,-0.15%
1996-04-29,83.175,83.175,83.175,83.175,,0.00%
1996-04-30,83.15,83.15,83.15,83.15,,-0.03%
1996-05-01,83.15,83.15,83.15,83.15,,0.00%
1996-05-02,83.0,83.0,83.0,83.0,,-0.18%
1996-05-03,83.1,83.1,83.1,83.1,,0.12%
1996-05-06,83.1,83.1,83.1,83.1,,0.00%
1996-05-07,82.89,82.89,82.89,82.89,,-0.25%
1996-05-08,82.658,82.658,82.658,82.658,,-0.28%
1996-05-09,82.792,82.792,82.792,82.792,,0.16%
1996-05-10,82.22,82.22,82.22,82.22,,-0.69%
1996-05-13,82.765,82.765,82.765,82.765,,0.66%
1996-05-14,83.3,83.3,83.3,83.3,,0.65%
1996-05-15,82.645,82.645,82.645,82.645,,-0.79%
1996-05-16,82.6,82.6,82.6,82.6,,-0.05%
1996-05-17,82.647,82.647,82.647,82.647,,0.06%
1996-05-20,82.552,82.552,82.552,82.552,,-0.11%
1996-05-21,82.47,82.47,82.47,82.47,,-0.10%
1996-05-22,82.32,82.32,82.32,82.32,,-0.18%
1996-05-23,82.33,82.33,82.33,82.33,,0.01%
1996-05-24,82.26,82.26,82.26,82.26,,-0.09%
1996-05-27,82.6,82.6,82.6,82.6,,0.41%
1996-05-28,82.245,82.245,82.245,82.245,,-0.43%
1996-05-29,82.185,82.185,82.185,82.185,,-0.07%
1996-05-30,82.29,82.29,82.29,82.29,,0.13%
1996-05-31,82.115,82.115,82.115,82.115,,-0.21%
1996-06-03,81.995,81.995,81.995,81.995,,-0.15%
1996-06-04,81.995,81.995,81.995,81.995,,0.00%
1996-06-05,81.81,81.81,81.81,81.81,,-0.23%
1996-06-06,81.68,81.68,81.68,81.68,,-0.16%
1996-06-07,81.77,81.77,81.77,81.77,,0.11%
1996-06-10,81.76,81.76,81.76,81.76,,-0.01%
1996-06-11,81.72,81.72,81.72,81.72,,-0.05%
1996-06-12,81.74,81.74,81.74,81.74,,0.02%
1996-06-13,81.77,81.77,81.77,81.77,,0.04%
1996-06-14,81.94,81.94,81.94,81.94,,0.21%
1996-06-17,81.921,81.921,81.921,81.921,,-0.02%
1996-06-18,80.77,80.77,80.77,80.77,,-1.41%
