"Rate Date","Rate Type","Range","Weighted Average"
"6/10/2024","OBB Rate","28.00 - 32.25","31.57",
"6/7/2024","OBB Rate","28.00 - 32.00","30.26",
"6/6/2024","OBB Rate","25.00 - 32.50","29.53",
"6/5/2024","OBB Rate","25.00 - 32.25","28.64",
"6/4/2024","OBB Rate","24.00 - 33.00","27.52 ",
"6/3/2024","Call Rate","28.00 - 28.00","28.00",
"6/3/2024","OBB Rate","25.00 - 32.00","27.57",
"5/31/2024","OBB Rate","26.00 - 32.50","28.41 ",
"5/30/2024","OBB Rate","25.00 - 32.25","28.72",
"5/29/2024","OBB Rate","24.00 - 32.25","29.23",
"5/28/2024","OBB Rate","27.00 - 33.00","31.82",
"5/27/2024","OBB Rate","26.00 - 33.00","31.13",
"5/24/2024","OBB Rate","27.00 - 33.25","31.78",
"5/23/2024","OBB Rate","27.00 - 33.00","31.91",
"5/22/2024","OBB Rate","24.00 - 33.00","30.15",
"5/21/2024","Call Rate","32.25 - 32.25","32.25",
"5/21/2024","OBB Rate","26.00 - 32.50","31.41",
"5/20/2024","Call Rate","30.75 - 30.75","30.75",
"5/20/2024","OBB Rate","20.75 - 31.50","30.25",
"5/17/2024","OBB Rate","27.00 - 33.00","30.52",
"5/16/2024","OBB Rate","27.00 - 33.00","30.37",
"5/15/2024","Call Rate","31.00 - 31.00","31.00",
"5/15/2024","OBB Rate","26.50 - 33.50","30.94",
"5/14/2024","Call Rate","30.75 - 30.75","30.75",
"5/14/2024","OBB Rate","26.00 - 31.00","30.35",
"5/13/2024","Call Rate","30.75 - 30.75","30.75",
"5/13/2024","OBB Rate","25.00 - 32.00","30.43",
"5/10/2024","Call Rate","30.00 - 30.00","30.00",
"5/10/2024","OBB Rate","25.00 - 31.00","29.02",
"5/9/2024","Call Rate","29.00 - 29.00","29.00",
"5/9/2024","OBB Rate","25.00 - 33.00","29.07",
"5/8/2024","Call Rate","30.75 - 30.75","30.75",
"5/8/2024","OBB Rate","20.00 - 35.00","28.97",
"5/7/2024","Call Rate","30.75 - 30.75","30.75",
"5/7/2024","OBB Rate","24.00 - 30.75","28.67",
"5/6/2024","Call Rate","30.75 - 30.75","30.75",
